taxid,genome_size,species_name
79263,6509090,Paenibacillus chitinolyticus
79264,7486149,Paenibacillus ehimensis
79329,9127347,Chitinophaga pinensis
79604,2446250,Denitrobacterium detoxificans
79681,2530461,Tissierella creatinophila
79879,5476388,Evansella clarkii
79880,4498248,Alkalihalobacillus clausii
79881,3932415,Shouchella gibsonii
79882,4701879,Sutcliffiella halmapala
79883,4295882,Sutcliffiella horikoshii
79885,4239319,Alkalihalophilus pseudofirmus
79909,8149099,Actinomadura livida
79967,4075681,Erwinia pyrifoliae
80383,43681955,Memnoniella echinata
80388,43467584,Stachybotrys elegans
80391,35342757,Stachybotrys microspora
80578,43530106,Boletellus ananas
80600,36102320,Rhizopogon vinicolor
80637,42968544,Coniophora puteana
80663,59326866,Piloderma croceum
80679,4137521,Thioflavicoccus mobilis
80816,9446314,Haliangium ochraceum
80842,5611261,Herbaspirillum rubrisubalbicans
80854,5165999,Moritella viscosa
80866,6767514,Delftia acidovorans
80867,5482170,Acidovorax avenae
80868,5609245,Acidovorax cattleyae
80869,4956056,Acidovorax citrulli
80871,9195993,Cryptosporangium arvum
80876,4638036,Insolitispirillum peregrinum
80878,4730769,Acidovorax temperans
80879,3755761,Curvibacter delicatus
80881,3755631,Simplicispira metamorpha
80882,3600773,Simplicispira psychrophila
80884,50716103,Colletotrichum higginsianum
81028,3055580,Treponema brennaborense
81029,3668571,Hyphomonas adhaerens
81031,3618770,Hyphomonas johnsonii
81033,3834993,Hyphomonas oceanitis
81056,64436020,Wolfiporia cocos
82380,3892546,Microbacterium oxydans
81406,5128906,Solidesulfovibrio alcoholivorans
81408,3963526,Parageobacillus caldoxylosilyticus
81409,2833471,Eubacterium aggregans
81412,2630170,Aminomonas paucivorans
81417,2248716,Methanofollis tationis
81425,3419064,Desulfovibrio aminophilus
81447,5905913,Photobacterium indicum
81464,3475815,Anaeromusa acidaminophila
81468,1980592,Aminobacterium colombiense
81475,3603458,Frateuria aurantia
81479,4055436,Rhodoferax antarcticus
81569,4816147,Ruegeria atlantica
81824,41633360,Monosiga brevicollis
81857,2086969,Lactobacillus selangorensis
81858,5223216,Mycolicibacterium elephantis
81895,4652771,Prosthecomicrobium pneumaticum
81947,2081978,Vagococcus lutrae
81950,1802210,Gemella palaticanis
82135,1451822,Fannyhessea vaginae
82203,2761262,Centipeda periodontii
82268,31926619,Hyaloraphidium curvatum
82310,30143925,Phlebiopsis gigantea
82346,3935242,Ornithinicoccus hortensis
82347,1717767,Facklamia languida
82348,2065522,Streptococcus pluranimalium
82367,4409379,Paracoccus pantotrophus
82374,2781134,Anaerovibrio lipolyticus
82376,3338457,Anaeroarcus burkinensis
82985,4038704,Pragia fontium
82508,24507743,Trichosporon asahii
82517,20346071,Trichosporon inkin
82541,5760010,Cupriavidus gilardii
82571,63234573,Terfezia boudieri
82633,6174043,Cupriavidus pauculus
82688,2563476,Liquorilactobacillus nagelii
82788,4393409,Thauera mechernichensis
82801,2330788,Desemzia incerta
82803,3089699,Trichococcus flocculiformis
82805,4405206,Hymenobacter actinosclerus
82806,2358538,Streptococcus ovis
82926,53361008,Globisporangium splendens
82937,44229941,Pythium graminicola
82941,58868116,Pythium myriotylum
82950,44752645,Globisporangium sylvaticum
82977,4566254,Buttiauxella agrestis
82979,5946490,Budvicia aquatica
82981,4235612,Leminorella grimontii
82983,4667142,Obesumbacterium proteus
82987,3539047,Tatumella ptyseos
82988,4758272,Buttiauxella brennerae
82989,5286310,Buttiauxella ferragutiae
82990,5068083,Buttiauxella gaviniae
82991,4769981,Buttiauxella izardii
82992,4766744,Buttiauxella noackiae
83264,5765889,Aminobacter aganoensis
82993,4301460,Buttiauxella warmboldiae
83456,9240716,Myxococcus virescens
82995,5090820,Serratia grimesii
82996,5442880,Serratia plymuthica
83184,59716336,Diaporthe eres
83186,63685968,Diaporthe citri
83212,37712632,Claviceps africana
83219,4046066,Sulfitobacter mediterraneus
83231,3216972,Prevotella brevis
83262,5573781,Mycobacteroides immunogenum
83263,5886880,Aminobacter aminovorans
83265,5357197,Aminobacter niigataensis
83296,8859703,Nosema granulosis
83302,8361641,Microbispora corallina
83341,6434991,Gordonia rhizosphera
83371,1.60E+08,Detonula confervacea
83401,3497210,Roseospirillum parvum
83449,12051756,Cystobacter ferrugineus
83451,12537762,Archangium violaceum
83453,9910441,Melittangium boletus
83455,10350586,Myxococcus stipitatus
86103,2582063,Idiomarina zobellii
83460,9217225,Stigmatella erecta
83462,10538407,Corallococcus exiguus
83526,2548273,Companilactobacillus paralimentarius
83540,8550633,Cryptosporidium felis
587,4454136,Providencia rettgeri
588,4405218,Providencia stuartii
85682,3953004,Anaerobacillus arseniciselenatis
85683,3592487,Salisediminibacterium selenitireducens
85688,7635786,Nocardia cerradoensis
85693,6042466,Mycolicibacterium monacense
85698,6901970,Achromobacter xylosoxidans
85701,2642404,Bartonella tribocorum
85831,4552452,Bacteroides acidifaciens
85874,2939057,Thermacetogenium phaeum
85925,2952137,Alkalispirillum mobile
85929,29352103,Sphaerulina musiva
85948,61207694,Didymosphaeria enalia
85968,3988920,Mycolicibacterium brumae
85971,43048674,Gyrodon lividus
85980,35193237,Leucogyrophana mollusca
85982,42797233,Serpula lacrymans
86005,2519642,Pasteuria penetrans
86049,28991111,Cladophialophora carrionii
86056,32474431,Rhinocladiella mackenziei
86102,2610628,Idiomarina abyssalis
86304,5057531,Saccharophagus degradans
86104,4480165,Arenibacter latericius
86170,2405559,Syntrophothermus lipocalidus
86173,4196952,Microbulbifer elongatus
86174,4806543,Thauera butanivorans
86175,3065138,Halopseudomonas pertucinogena
86180,3778566,Malikia spinosa
86182,6832523,Curvibacter lanceolatus
86184,3508292,Stenotrophomonas pictorum
86185,4934136,Pseudomonas lundensis
86188,4486066,Stenotrophomonas geniculata
86193,3749280,Sphingobium abikonense
86259,41878255,Venturia nashicola
86265,6604078,Pseudomonas thivervalensis
86668,6183708,Neobacillus niacini
86332,1862768,Mogibacterium pumilum
86335,29334786,Peronospora destructor
86545,37919972,Fusarium chlamydosporum
86546,34983573,Fusarium graminum
86630,39022965,Rhizopus azygosporus
86660,1084449,Mesomycoplasma dispar
86663,3715404,Bacillus carboniphilus
86664,4131040,Priestia flexa
86665,4315604,Halalkalibacterium halodurans
86666,3155619,Salimicrobium halophilum
87458,2518736,Ruoffia tabacinasalis
86796,4060008,Marmoricola aurantiacus
86802,21384534,Ustilago nuda
86804,39002873,Ustilago trichophora
86836,23718404,Rhodotorula kratochvilovae
86840,6144893,Pseudomonas cannabina
86956,2637495,Pectinatus cerevisiiphilus
86959,4134382,Propionispira raffinosivorans
87012,1831101,Helicobacter mesocricetorum
87106,39505394,Thraustochytrium striatum
87172,4073955,Natronohydrobacter thiooxidans
87229,46789968,Botrytis porri
87287,28684165,Umbilicaria vellea
87326,36016155,Amanita brunnescens
104087,6118567,Pseudomonas frederiksbergensis
87461,5177157,Rhodopseudomonas rhenobacensis
87541,1634920,Aerococcus christensenii
87650,2067037,Hutsoniella sourekii
87883,6693153,Burkholderia multivorans
88058,4059867,Treponema primitia
88132,1773745,Eremococcus coleocola
88189,2225983,Thermus igniterrae
88233,3458698,Lacticaseibacillus manihotivorans
88271,17043600,Picocystis salinarum
88364,4414244,Psychromonas marina
88373,3932121,Agromyces luteolus
88374,3607789,Agromyces rhizosphaerae
88376,4159874,Agromyces bracchium
88382,6512079,Promicromonospora sukumoe
88431,3033150,Dorea longicatena
88456,44363576,Cyclospora cayetanensis
88688,4655467,Caulobacter segnis
88724,4190799,Natrinema versiforme
88771,29065253,Ceratocystis platani
89014,3741599,Blautia luti
89050,7819394,Actinacidiphila yeochonensis
89051,5428634,Gordonia desulfuricans
89053,5158374,Gordonia amicalis
89059,2607423,Ligilactobacillus acidipiscis
89061,1974613,Weissella thailandensis
89093,1949382,Ignavigranum ruoffiae
89152,2521899,Peptacetobacter hiranonis
89153,3922038,[Clostridium] hylemonae
89154,2751233,Corynebacterium terpenotabidum
89174,32978932,Claviceps maximensis
89184,4601048,Ruegeria pomeroyi
89243,52197432,Laccaria amethystina
89524,4864068,Rubrimonas cliftonensis
89586,1236870,Neoehrlichia mikurensis
89772,4399299,Aquamicrobium lusatiense
89924,25469355,Kwoniella heveanensis
89940,36722552,Cladophialophora bantiana
89957,4.15E+09,Polarella glacialis
89967,4948485,Hymenobacter roseosalivarius
89968,5060948,Hymenobacter gelipurpurascens
89969,5870407,Hymenobacter chitinivorans
90060,6159879,Aromatoleum toluolicum
90239,2187333,Moraxella canis
90241,2202203,Moraxella lincolnii
90242,2610244,Neisseria iguanae
90244,2832856,Oligella ureolytica
90245,2420065,Oligella urethralis
90253,34232935,Actinomortierella wolfii
90255,28120762,Cokeromyces recurvatus
90262,47422896,Absidia repens
90267,34328230,Chlamydoabsidia padenii
90730,7092334,Desulfosarcina cetonica
90736,4760425,Moritella marina
90978,33340726,Curvularia kusanoi
91359,5503346,Enterovibrio calviensis
91360,5008860,Desulforhopalus singaporensis
91370,32539172,Pyrenophora seminiperda
91374,2.80E+08,Diplonema papillatum
91480,25325852,Alyxoria varia
91492,32252303,Aspergillus udagawae
91604,2485110,Candidatus Paracaedibacter acanthamoebae
91623,4589511,Clostridium akagii
91624,3999957,Clostridium acidisoli
91625,22055682,Umbelopsis isabellina
91626,40737472,Mucor ambiguus
91752,41205484,Hericium erinaceus
91822,3538304,Legionella beliardensis
91844,358242,Candidatus Portiera aleyrodidarum
91915,3198265,Asaia bogorensis
91928,32912349,Exophiala spinifera
91943,38167921,Hortaea werneckii
92002,4797596,Aromatoleum toluvorans
92003,5925983,Aromatoleum toluclasticum
92172,5368019,Vibrio aerogenes
92181,1747106,Bartonella koehlerae
92402,719195,Metamycoplasma equirhinis
92403,672402,Metamycoplasma falconis
92442,3871146,Arthrobacter psychrolactophilus
92487,4158727,Thiothrix eikelboomii
92488,5114497,Pantoea endophytica
92490,5014558,Erwinia toletana
92629,30449065,Metarhizium album
92637,44714781,Metarhizium acridum
92645,5408328,Herbaspirillum frisingense
92647,8824362,Paraburkholderia tropica
92696,35274896,Steccherinum ochraceum
92743,9705398,Streptomyces paromomycinus
92758,1221951,Mycoplasmoides fastidiosum
92759,4832047,Gluconacetobacter sacchari
92933,7000062,Azospirillum doebereinerae
92934,6741612,Kamptonema animale
92938,6902954,Fischerella muscicola
92942,9014207,Nostoc linckia
92945,3276390,Ketogulonicigenium vulgare
92947,2713835,Ketogulonicigenium robustum
92950,28077488,Cladosporium sphaerospermum
93063,3591671,Sphingomonas aquatilis
93064,4819238,Sphingomonas koreensis
93218,5571260,Pandoraea apista
93220,5385946,Pandoraea pnomenusa
93221,5867621,Pandoraea pulmonicola
93222,5743123,Pandoraea sputorum
93369,4836797,Pseudaminobacter salicylatoxidans
93378,3817113,Edwardsiella hoshinae
93466,2166381,Fervidobacterium pennivorans
93591,44574141,Lecanicillium fungicola
93612,43013545,Exserohilum turcicum
93625,47465408,Psilocybe cyanescens
93683,4492810,Roseivivax halodurans
93684,3771129,Roseivivax halotolerans
93944,12066052,Nonomuraea gerenzanensis
93969,9178484,Cryptosporidium meleagridis
94009,3657623,Thermicanus aegyptius
94023,2.19E+08,Acaulospora morrowiae
94130,1.47E+08,Rhizophagus clarus
94132,4070193,Ramlibacter tataouinensis
94136,2882966,Alkalibacillus haloalkaliphilus
94137,3242837,Filobacillus milosensis
94138,2677037,Staphylococcus ureilyticus
94208,27610157,Tolypocladium paradoxum
94218,27859125,Penicillium lagena
94254,6967790,Dyadobacter fermentans
94255,7600634,Runella zeae
94289,66368609,Sterkiella histriomuscorum
94624,5287950,Bordetella petrii
94625,4727886,Brucella intermedia
94626,5025724,Brucella tritici
94627,4838271,Brucella grignonensis
94643,58810784,Besnoitia besnoiti
94694,1384116,Desulfurococcus amylolyticus
94868,4639933,Lacrimispora algidixylanolytica
94869,4132257,Clostridium gasigenes
83769,3964271,Succinimonas amylolytica
95149,1435066,Helicobacter pametensis
83771,2849946,Succinivibrio dextrinosolvens
83816,2937203,Methanobrevibacter ruminantium
83891,21334213,Trypanosoma conorhini
83986,2789774,Methanoculleus bourgensis
84023,4352446,Clostridium autoethanogenum
95161,6291299,Saccharopolyspora flava
95162,7477839,Nocardia beijingensis
95300,6424905,Pseudomonas vancouverensis
95301,6517592,Pseudomonas multiresinivorans
95485,8505509,Burkholderia stabilis
95486,7780598,Burkholderia cenocepacia
95742,32360171,Curvularia clavata
96229,3968753,Legionella rowbothamii
96230,4434890,Legionella fallonii
96232,3707997,Legionella lytica
96241,4045538,Bacillus spizizenii
96344,7296847,Cupriavidus oxalaticus
96345,2830557,Flavobacterium psychrophilum
96472,4380446,Thiothrix winogradskyi
96565,1837804,Lactobacillus hamsteri
96773,3735506,Thauera chlorobenzoica
96774,35635695,Claviceps sorghi
96941,4691082,Methylobacter psychrophilus
97084,3437906,Halobacteriovorax marinus
97096,54535414,Eutypa lata
108150,2451061,Thermoanaerobacter italicus
108328,2300172,Anaerobranca gottschalkii
108486,2561893,Corynebacterium falsenii
108528,3748607,Gluconacetobacter entanii
108607,57266623,Mastigamoeba balamuthi
108819,1424377,Coprothermobacter platensis
109372,39045003,Hypoxylon fuscum
108892,31641441,Sanghuangporus baumii
108980,3510045,Acinetobacter ursingii
108981,3337186,Acinetobacter schindleri
109152,52085503,Phytophthora boehmeriae
109232,1353450,Rickettsia monacensis
109258,3696795,Desulfacinum hydrothermale
109264,37474605,Aspergillus bombycis
109265,4445648,Dolichospermum circinale
109327,3263520,Anaerovorax odorimutans
109328,2870544,Leptotrichia trevisanii
109329,6379550,Nocardiopsis trehalosi
110365,14009070,Gregarina niphandrodes
109381,49475055,Nemania serpens
109472,2125638,Bisgaardia hudsonensis
109615,5257036,Microcystis flos-aquae
109633,69369710,Galerina marginata
109634,59461163,Gymnopilus junonius
109635,75008219,Flammula alnicola
109636,43955553,Pholiota conissans
109760,24131112,Spizellomyces punctatus
109790,1672949,Lactobacillus jensenii
109871,23810896,Batrachochytrium dendrobatidis
109876,41337528,Catenaria anguillulae
109884,36839710,Irineochytrium annulatum
109889,24944094,Lobulomyces angularis
109894,24136728,Geranomyces variabilis
109895,29428253,Powellomyces hirtus
109897,20918219,Gaertneriomyces semiglobifer
109899,38094242,Serendipita vermifera
109932,27694625,Entophlyctis luteolus
109936,50665862,Cladochytrium replicatum
109957,44089900,Physocladia obscura
110081,49458483,Obelidium mucronatum
110093,64917104,Polychytrium aggregatum
110321,6534206,Sinorhizobium medicae
110322,6629975,Sinorhizobium terangae
110534,45592449,Biscogniauxia marginata
110479,3315768,Asaia siamensis
110505,4865109,Mycobacterium heckeshornense
110526,56079074,Ustulina deusta
110536,37292518,Nemania bipapillata
110539,6491865,Mycolicibacterium vanbaalenii
110542,48274338,Hypoxylon rubiginosum
110547,48317886,Whalleya microplaca
110548,45006662,Camillea tinctor
97098,48371435,Mucor plumbeus
97331,36645795,Arthrobotrys flagrans
97359,49873921,Auriculariopsis ampla
97377,43548325,Biscogniauxia mediterranea
97478,2140145,Limosilactobacillus mucosae
97481,2245511,Pasteurella skyensis
97972,54992973,Periconia macrospinosa
98342,38586867,Pleurotus citrinopileatus
98403,32831003,Drechmeria coniospora
98513,4426457,Phenylobacterium haematophilum
98668,6515693,Mycolicibacterium septicum
98671,2222850,Pseudoglutamicibacter albus
98672,3874523,Arthrobacter luteolus
98765,34612349,Hermanssonia centrifuga
98861,48529157,Russula brevipes
99116,29373279,Penicillium olsonii
99117,4409943,Microlunatus capsulatus
99286,3631041,Flavobacterium frigidarium
99597,4743156,Sphingomonas pituitosa
99653,10909875,Rhodococcus koreensis
99655,4068611,Rhodopseudomonas faecalis
99656,4568183,[Clostridium] fimetarium
99807,2599172,Corynebacterium auriscanis
99907,2826533,Alkalibacterium olivapovliticus
100019,34389227,Didymella exigua
100035,42105601,Massariosphaeria phaeospora
100044,43176591,Pleomassaria siparia
100047,42094923,Melanomma pulvis-pyrius
100053,4060960,Leptospira alexanderi
100134,5420325,Anaerocolumna xylanovorans
100174,3524229,Clostridium peptidivorans
100176,2890610,Papillibacter cinnamivorans
100225,3544343,Austwickia chelonae
100468,3309179,Schleiferilactobacillus perolens
100469,2578157,Schaalia canis
100716,3293456,Chloroherpeton thalassium
100787,72013526,Verticillium longisporum
100816,35695337,Madurella mycetomatis
100861,73284099,Aphanomyces euteiches
100884,3861289,Coprobacillus cateniformis
100886,2272637,Catenibacterium mitsuokai
100951,20697359,Naganishia albida
101028,36863345,Fusarium pseudograminearum
101070,3851193,Rummeliibacillus pycnus
101091,35108735,Choanephora cucurbitarum
101096,25732466,Gilbertella persicaria
101097,39048271,Entomortierella chlamydospora
101098,37665308,Gamsiella multidivaricata
101103,51270100,Circinella umbellata
101105,33012461,Gongronella butleri
101107,26215609,Halteromyces radiatus
101115,38198483,Spinellus fusiger
101117,26235891,Sporodiniella umbellata
101121,29570904,Thermomucor indicae-seudaticae
101123,34772712,Pilobolus umbonatus
101127,27216191,Hesseltinella vesiculosa
101128,29565430,Syncephalastrum monosporum
101130,39778020,Dichotomocladium elegans
101142,34252226,Thamnidium elegans
101162,31362097,Bipolaris oryzae
101192,2714013,Methanomethylovorans hollandica
101201,37545380,Trichoderma asperellum
101203,53093248,Saprolegnia parasitica
101383,5006455,Cryomorpha ignava
101385,3520671,Aequorivita sublithincola
101475,47990914,Poronia punctata
101480,22164667,Trichophyton interdigitale
101564,5411334,Pseudomonas alcaliphila
101571,7840830,Burkholderia ubonensis
101689,3174691,Phycicoccus elongatus
101852,39509734,Glarea lozoyensis
101924,31189410,Rhodosorus marinus
102109,5767550,Desulfovibrio inopinatus
102116,5544990,Stanieria cyanosphaera
102134,4855529,Desulfoscipio gibsoniae
102148,2615268,Solobacterium moorei
102684,1958742,Streptococcus infantarius
102862,4023090,Proteus penneri
102886,1877438,Streptococcus didelphis
103232,10892772,Streptomyces ipomoeae
103385,57567124,Amylostereum areolatum
103428,37510053,Daldinia grandis
103429,37819304,Daldinia loculata
103441,9537556,Pseudonocardia spinosispora
103449,6118689,Vavraia culicis
103618,1723843,Gleimia coleocanis
103621,2513756,Actinomyces urogenitalis
103725,10435448,Kutzneria kofuensis
103728,8112504,Actinokineospora diospyrosa
103729,7641567,Actinokineospora globicatena
103730,7278759,Actinokineospora inagensis
103731,9360653,Saccharothrix espanaensis
103732,9721257,Lentzea flava
103733,10929570,Saccharothrix syringae
103734,9178199,Saccharothrix texasensis
103810,2436793,Riemerella columbina
103816,5590512,Rhodococcus pyridinivorans
103817,3297319,Janibacter terrae
103836,5765274,Thermopolyspora flexuosa
103837,9752649,Nonomuraea roseoviolacea
103838,11350886,Nonomuraea turkmeniaca
103855,4809490,Bordetella hinzii
103891,2245419,Veillonella criceti
103892,2236286,Veillonella ratti
105425,9915093,Streptacidiphilus albus
104097,3447192,Acetobacter estunensis
104098,2703456,Acetobacter peroxydans
104099,2997537,Acetobacter orleanensis
104101,3191716,Acetobacter indonesiensis
104102,3717151,Acetobacter tropicalis
104205,5606970,Streptomonospora salina
104259,35888622,Penicillium brasilianum
104336,3568138,Microbacterium foliorum
104341,42452888,Postia placenta
104355,37178225,Gloeophyllum trabeum
104408,19492980,Naganishia liquefaciens
104662,7000708,Chitinophaga japonensis
104663,8625518,Chitinophaga filiformis
104669,20254996,Cryptococcus amylolentus
104955,1752928,Limosilactobacillus frumenti
105219,5072301,Ralstonia mannitolilytica
105229,3294206,Neobacillus fumarioli
105351,38597812,Aspergillus awamori
105352,3915703,Chrysosporum bergii
105612,1683308,Dellaglioa algida
105483,2622239,Desulfofalx alkaliphila
105487,42827319,Valsa mali
105560,4643639,Methylibium petroleiphilum
106654,3824973,Acinetobacter nosocomialis
105696,34744152,Epicoccum nigrum
105751,4714837,Aeromonas bestiarum
105841,3284789,Anaerostipes caccae
105843,3194235,Anaerobutyricum soehngenii
105972,4978464,Methylosarcina fibrata
105984,25479456,Apiotrichum porosum
105987,20033549,Glaciozyma antarctica
106002,25859341,Pseudohyphozyma bogoriensis
106004,27969159,Leucosporidium creatinivorum
106147,2442394,Pelistega europaea
106370,5433628,Frankia casuarinae
106588,4241076,Pseudoflavonifractor capillosus
106590,7414561,Cupriavidus necator
106592,7267502,Ensifer adhaerens
106648,4729151,Acinetobacter bereziniae
106649,4648418,Acinetobacter guillouiae
107327,4586484,Pseudoalteromonas ulvae
107400,5971667,Methylobacterium fujisawaense
107401,3333272,Tenacibaculum maritimum
107709,5957605,Opitutus terrae
108007,1880838,Thermanaerovibrio velox
108010,3756729,Thioalkalivibrio paradoxus
108015,8226123,Bradyrhizobium yuanmingense
108018,48945047,Cadophora malorum
108028,2095799,Arcanobacterium pluranimalium
110845,1551135,Jeotgalicoccus pinnipedialis
110933,4069854,Leifsonia poae
110935,3876213,Agreia bicolorata
110936,4119949,Rathayibacter caricis
111015,3051613,Actinomyces radicidentis
111137,86230511,Lactarius sanguifluus
111141,1.16E+08,Lactarius quietus
113071,1.05E+08,Ramaria rubella
111463,81749301,Hirsutella rhossiliensis
111564,4944651,Kineosphaera limosa
111802,10915467,Actinomadura fibrosa
111804,9353665,Actinomadura oligospora
111806,7396071,Thermomonospora umbrina
111831,4226795,Defluviicoccus vanus
111844,2262740,Mannheimia pernigra
112002,3062581,Psychrobacter pacificensis
112090,75844385,Aphanomyces astaci
112091,76219371,Aphanomyces cochlioides
112098,62885792,Saprolegnia diclina
112123,52432785,Stipitochalara longipes
112140,3632583,Gluconacetobacter johannae
112234,4890621,Chryseobacterium joostei
112248,3844441,Seinonella peptonophila
112331,3469359,Planococcus koreensis
112413,9873592,Amycolatopsis rubida
112416,52265057,Letharia columbiana
112417,1.23E+08,Gautieria morchelliformis
112489,26537235,Dissoconium aciculare
112498,32254922,Ramularia collo-cygni
112900,5996461,Sporomusa acidovorans
112901,5191417,Sporomusa malonica
112903,4433598,Propionispora vibrioides
112904,3060724,Enterococcus villorum
113107,2015375,Streptococcus australis
113226,60439160,Pseudocercospora musae
113268,4018024,Bathymodiolus platifrons methanotrophic gill symbiont
113269,4971076,Bathymodiolus japonicus methanotrophic gill symbiont
113287,2362882,Pseudoramibacter alactolyticus
113559,9917308,Actinoplanes campanulatus
113560,10606845,Actinoplanes consettensis
113561,10634869,Actinoplanes deccanensis
113562,10654181,Actinoplanes derwentensis
113563,10509825,Actinoplanes durhamensis
113564,9409405,Actinoplanes ferrugineus
113566,11100543,Actinoplanes humidus
113567,11098820,Actinoplanes italicus
113568,10405733,Actinoplanes lobatus
113570,11168746,Actinoplanes palleronii
113571,10320296,Actinoplanes rectilineatus
113608,12115070,Tetrapisispora phaffii
114090,2090142,Pediococcus inopinatus
114136,5586651,Paenibacillus jamilae
114155,42748430,Dichomitus squalens
114249,2707895,Tepidimonas ignava
114259,6001070,Nocardia paucivorans
114404,4494276,Sphingomonas fennica
114497,33485962,Cordyceps fumosorosea
114524,11913776,Saccharomyces kudriavzevii
114525,12104871,Saccharomyces mikatae
114527,1815831,Mogibacterium diversum
114616,8839022,Methylobacterium nodulans
114628,4024838,Alkaliphilus transvaalensis
114652,2416134,Streptococcus orisratti
114686,9118447,Streptomyces phaeoluteigriseus
114695,11877923,Streptomyces asiaticus
114698,10647866,Streptomyces javensis
114699,11044339,Streptomyces rhizosphaericus
114742,55353365,Pythium insidiosum
114800,35841789,Daldinia vernicosa
114808,47204184,Xylaria acuta
114810,51163159,Xylaria arbuscula
114812,45886771,Xylaria castorea
114818,50750822,Xylaria longipes
115335,6724167,Actinomadura rubrobrunea
115433,7587467,Amycolatopsis sacchari
115544,2443757,Parasporobacterium paucivorans
115551,4952479,Halomonas neptunia
115553,4254519,Halomonas sulfidaeris
115555,3501489,Halomonas axialensis
115561,4120823,Halomonas hydrothermalis
115778,1954080,Leuconostoc gasicomitatum
115781,5118755,Desulfotignum balticum
115783,3571247,Trichlorobacter thiogenes
115852,2612768,Chlorobaculum thiosulfatiphilum
115979,4691494,Niallia nealsonii
116065,1.64E+08,Choristocarpus tenellus
116085,3599035,Coprococcus catus
116089,1542852,Lactobacillus psittaci
116090,2423898,Caloranaerobacter azorensis
116188,9378784,Streptomyces coeruleorubidus
116598,1518695,Wolbachia endosymbiont of Diaphorina citri
116603,51861001,Suillus plorans
116794,38736376,Heterodermia speciosa
116821,44010370,Physcia stellaris
116849,3276823,Azomonas agilis
116970,37782843,Penicillium angulare
117008,9088557,Cryptosporidium andersoni
117010,44412325,Tricholomella constricta
117018,34053942,Asterophora parasitica
117065,64896558,Lyophyllum atratum
117066,53072152,Myochromella boudieri
117069,43980169,Sphagnurus paluster
117070,66588273,Tephrocybe rancida
117157,6403669,Actinopolymorpha singaporensis
117174,20444915,Ustilago tritici
117179,24274610,Tilletia walkeri
117187,41791161,Fusarium verticillioides
117207,3373713,Sphingopyxis alaskensis
117506,3002881,Comamonas denitrificans
117567,6713618,Mycobacterium frederiksbergense
117680,6752835,Pseudomonas reactans
117681,7356171,Pseudomonas gingeri
117820,22937368,Spizellomyces sp. 'palustris'
118000,3222077,Denitrovibrio acetiphilus
118062,2469575,Methanobacterium congolense
118126,2622259,Methanoculleus chikugoensis
118246,2936851,Ureibacillus terrenus
118266,31105991,Beauveria brongniartii
118322,6867625,Lyngbya aestuarii
118323,7804270,Oscillatoria acuminata
118614,1.71E+08,Oehlia diaphana
118748,1419583,Bulleidia extructa
118967,2406951,Anaerorhabdus furcosa
119000,4138450,Halomonas muralis
119206,2064531,Aerococcus sanguinicola
119219,6901105,Cupriavidus metallidurans
119224,1700082,Streptococcus phocae
119484,4990251,Syntrophobacter fumaroxidans
119641,4080971,Clostridium uliginosum
119644,4253037,Hymenobacter aerophilus
119858,4647754,Bacillus sonorensis
119864,4684316,Marinomonas mediterranea
119927,35704180,Alternaria tenuissima
119953,39606256,Alternaria atra
119981,3044331,Propionibacterium australiense
120017,26637005,Ustilago hordei
120107,4547566,Sphingobium cloacae
120213,4214389,Subtercola boreus
120298,3679597,Subtercola frigoramans
120377,3892849,Salana multivorans
120398,62115503,Aphanomyces stellatus
120577,3278034,Brucella ceti
120644,40867009,Fusarium thapsinum
120956,2028290,Facklamia miroungae
120957,8487012,Nocardia abscessus
120959,5463479,Mycobacterium kubicae
120962,5723298,Roseiflexus castenholzii
121037,1.65E+08,Sutorius eximius
121039,3088654,Ferrimicrobium acidiphilum
121088,1.52E+08,Ostreobium quekettii
121128,32035056,Helicocarpus griseus
121163,2294128,Schaalia suimastitidis
121290,3551730,Hyphomicrobium sulfonivorans
121292,4927723,Pseudarthrobacter sulfonivorans
121428,4602637,Sphingobium xenophagum
121608,7544267,Paenibacillus koleovorans
121616,7755577,Micromonospora matsumotoense
121620,8393213,Catellatospora methionotrophica
121624,32461131,Phyllosticta capitalensis
121627,35758560,Talaromyces rugulosus
121719,4837487,Pannonibacter phragmitetus
121734,3813851,Heliomicrobium undosum
121759,29952540,Paracoccidioides brasiliensis
121821,3504907,Roseinatronobacter thiooxidans
122355,5313922,Pseudomonas psychrophila
122358,9897806,Actinoplanes ianthinogenes
614,5349947,Serratia liquefaciens
122368,36074111,Cercospora beticola
122381,43724536,Fusarium sp. NRRL 25303
122960,3310509,Alicyclobacillus herbarius
123320,3138231,Okibacterium fritillariae
123356,36740689,Hyaloperonospora parasitica
123648,45904044,Claviceps pusilla
123783,4159606,Natrialba hulunbeirensis
123899,4498245,Bordetella trematum
123925,40667329,Lepista sordida
124225,1922095,Brackiella oedipodis
124252,6263929,Nocardiopsis halotolerans
124285,5330432,Nocardiopsis xinjiangensis
124798,3667597,Microbacterium phyllosphaerae
125288,3437881,Ornithinimicrobium humiphilum
125614,3923954,Thiolinea disciformis
125627,3787626,Thiofilum flexile
126157,4064800,Psychrobacillus psychrodurans
126333,3545807,Halodesulfovibrio aestuarii
126344,5821893,Phormidium tenue
126385,3990106,Providencia alcalifaciens
